state,proba
0,3.06
1,2.16
2,1.93
3,2.20
4,2.35
5,2.95
6,2.29
7,0.96
8,2.34
9,2.33
10,2.30
11,2.71
12,2.61
13,2.39
14,2.47
15,2.90
16,2.77
17,2.58
18,2.91
19,3.05
20,2.86
21,2.82
22,1.15
23,2.73
24,3.16
25,3.04
26,2.71
27,2.68
28,2.80
29,2.60
30,3.53
31,2.69
32,2.63
33,2.40
34,2.51
35,2.44
36,0.96
37,2.20
38,2.20
39,2.63
