state,nbTurns
0,inf
1,48
2,inf
3,26
4,inf
5,35
6,20
7,inf
8,20
9,18
10,inf
11,25
12,166
13,29
14,23
15,37
16,19
17,inf
18,18
19,17
20,inf
21,27
22,inf
23,27
24,22
25,34
26,25
27,25
28,160
29,25
30,inf
31,30
32,31
33,inf
34,29
35,43
36,inf
37,31
38,inf
39,20
